[2026-04-04 10:56:03][INFO] 日志记录器初始化完成 | log_dir=./logs
[2026-04-04 10:56:03][INFO] 文本日志: ./logs\training_20260404_105603.log
[2026-04-04 10:56:03][INFO] JSON 日志: ./logs\training_20260404_105603.json
[2026-04-04 10:56:03][INFO] ============================================================
[2026-04-04 10:56:03][INFO] 联邦蒸馏客户端模型预训练启动
[2026-04-04 10:56:03][INFO] 数据集: CIFAR10 | 客户端数: 10
[2026-04-04 10:56:03][INFO] 预训练轮数: 100 | 设备: cuda
[2026-04-04 10:56:03][INFO] ============================================================
[2026-04-04 10:56:03][INFO] [pretrain] 待训练客户端: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
[2026-04-04 10:56:03][INFO] [pretrain] Step 1: 加载/创建数据集划分...
[2026-04-04 10:56:07][INFO] [pretrain] 数据加载完成，共 10 个客户端
[2026-04-04 10:56:07][INFO] [pretrain] Step 2: 分配客户端模型结构...
[2026-04-04 10:56:07][INFO]   Client  0 → SMALL
[2026-04-04 10:56:07][INFO]   Client  1 → LARGE
[2026-04-04 10:56:07][INFO]   Client  2 → MEDIUM
[2026-04-04 10:56:07][INFO]   Client  3 → MEDIUM
[2026-04-04 10:56:07][INFO]   Client  4 → MEDIUM
[2026-04-04 10:56:07][INFO]   Client  5 → LARGE
[2026-04-04 10:56:07][INFO]   Client  6 → SMALL
[2026-04-04 10:56:07][INFO]   Client  7 → LARGE
[2026-04-04 10:56:07][INFO]   Client  8 → SMALL
[2026-04-04 10:56:07][INFO]   Client  9 → SMALL
[2026-04-04 10:56:07][INFO] [pretrain] 模型结构分配已保存: ./teacher_ckpts\client_model_types.json
[2026-04-04 10:56:07][INFO] [pretrain] Step 3: 开始预训练（串行模式）...
[2026-04-04 10:56:07][INFO] [pretrain] ── Client 0 开始 | 模型结构: SMALL | 本地样本数: 6071 ──
[2026-04-04 10:56:08][INFO] [预训练] Client 0 开始训练，共 100 轮，设备: cuda
[2026-04-04 11:04:39][DEBUG] [Client 0] Epoch  29/100 | Loss=0.2438 | Acc=0.1803 | Best=0.1809(ep18) | LR=0.080665
[2026-04-04 11:04:56][DEBUG] [Client 0] Epoch  30/100 | Loss=0.2474 | Acc=0.1780 | Best=0.1809(ep18) | LR=0.079410
[2026-04-04 11:05:14][DEBUG] [Client 0] Epoch  31/100 | Loss=0.2350 | Acc=0.1805 | Best=0.1809(ep18) | LR=0.078126
[2026-04-04 11:05:30][DEBUG] [Client 0] Epoch  32/100 | Loss=0.2314 | Acc=0.1799 | Best=0.1809(ep18) | LR=0.076815
[2026-04-04 11:05:48][DEBUG] [Client 0] Epoch  33/100 | Loss=0.2344 | Acc=0.1793 | Best=0.1809(ep18) | LR=0.075477
[2026-04-04 11:06:04][DEBUG] [Client 0] Epoch  34/100 | Loss=0.2367 | Acc=0.1820 | Best=0.1820(ep34) | LR=0.074114
[2026-04-04 11:06:21][DEBUG] [Client 0] Epoch  35/100 | Loss=0.2347 | Acc=0.1786 | Best=0.1820(ep34) | LR=0.072727
[2026-04-04 11:06:38][DEBUG] [Client 0] Epoch  36/100 | Loss=0.2166 | Acc=0.1817 | Best=0.1820(ep34) | LR=0.071318
[2026-04-04 11:06:54][DEBUG] [Client 0] Epoch  37/100 | Loss=0.2156 | Acc=0.1812 | Best=0.1820(ep34) | LR=0.069888
[2026-04-04 11:07:11][DEBUG] [Client 0] Epoch  38/100 | Loss=0.2261 | Acc=0.1784 | Best=0.1820(ep34) | LR=0.068438
[2026-04-04 11:07:28][DEBUG] [Client 0] Epoch  39/100 | Loss=0.2148 | Acc=0.1823 | Best=0.1823(ep39) | LR=0.066970
[2026-04-04 11:07:44][DEBUG] [Client 0] Epoch  40/100 | Loss=0.2085 | Acc=0.1826 | Best=0.1826(ep40) | LR=0.065485
[2026-04-04 11:08:01][DEBUG] [Client 0] Epoch  41/100 | Loss=0.2160 | Acc=0.1817 | Best=0.1826(ep40) | LR=0.063986
[2026-04-04 11:08:18][DEBUG] [Client 0] Epoch  42/100 | Loss=0.2030 | Acc=0.1806 | Best=0.1826(ep40) | LR=0.062472
[2026-04-04 11:08:34][DEBUG] [Client 0] Epoch  43/100 | Loss=0.2039 | Acc=0.1753 | Best=0.1826(ep40) | LR=0.060946
[2026-04-04 11:08:51][DEBUG] [Client 0] Epoch  44/100 | Loss=0.2159 | Acc=0.1795 | Best=0.1826(ep40) | LR=0.059410
[2026-04-04 11:09:08][DEBUG] [Client 0] Epoch  45/100 | Loss=0.2041 | Acc=0.1721 | Best=0.1826(ep40) | LR=0.057864
[2026-04-04 11:09:25][DEBUG] [Client 0] Epoch  46/100 | Loss=0.1924 | Acc=0.1839 | Best=0.1839(ep46) | LR=0.056310
[2026-04-04 11:09:42][DEBUG] [Client 0] Epoch  47/100 | Loss=0.1980 | Acc=0.1819 | Best=0.1839(ep46) | LR=0.054751
[2026-04-04 11:09:59][DEBUG] [Client 0] Epoch  48/100 | Loss=0.1902 | Acc=0.1820 | Best=0.1839(ep46) | LR=0.053186
[2026-04-04 11:10:16][DEBUG] [Client 0] Epoch  49/100 | Loss=0.1981 | Acc=0.1821 | Best=0.1839(ep46) | LR=0.051619
[2026-04-04 11:10:33][DEBUG] [Client 0] Epoch  50/100 | Loss=0.1860 | Acc=0.1732 | Best=0.1839(ep46) | LR=0.050050
[2026-04-04 11:10:49][DEBUG] [Client 0] Epoch  51/100 | Loss=0.1954 | Acc=0.1835 | Best=0.1839(ep46) | LR=0.048481
[2026-04-04 11:11:06][DEBUG] [Client 0] Epoch  52/100 | Loss=0.1816 | Acc=0.1779 | Best=0.1839(ep46) | LR=0.046914
[2026-04-04 11:11:23][DEBUG] [Client 0] Epoch  53/100 | Loss=0.1919 | Acc=0.1823 | Best=0.1839(ep46) | LR=0.045349
[2026-04-04 11:11:39][DEBUG] [Client 0] Epoch  54/100 | Loss=0.1784 | Acc=0.1834 | Best=0.1839(ep46) | LR=0.043790
[2026-04-04 11:11:56][DEBUG] [Client 0] Epoch  55/100 | Loss=0.1720 | Acc=0.1849 | Best=0.1849(ep55) | LR=0.042236
[2026-04-04 11:12:13][DEBUG] [Client 0] Epoch  56/100 | Loss=0.1759 | Acc=0.1844 | Best=0.1849(ep55) | LR=0.040690
[2026-04-04 11:12:29][DEBUG] [Client 0] Epoch  57/100 | Loss=0.1691 | Acc=0.1828 | Best=0.1849(ep55) | LR=0.039154
[2026-04-04 11:12:47][DEBUG] [Client 0] Epoch  58/100 | Loss=0.1701 | Acc=0.1850 | Best=0.1850(ep58) | LR=0.037628
[2026-04-04 11:13:04][DEBUG] [Client 0] Epoch  59/100 | Loss=0.1640 | Acc=0.1807 | Best=0.1850(ep58) | LR=0.036114
[2026-04-04 11:13:21][DEBUG] [Client 0] Epoch  60/100 | Loss=0.1582 | Acc=0.1831 | Best=0.1850(ep58) | LR=0.034615
[2026-04-04 11:13:37][DEBUG] [Client 0] Epoch  61/100 | Loss=0.1657 | Acc=0.1805 | Best=0.1850(ep58) | LR=0.033130
[2026-04-04 11:13:54][DEBUG] [Client 0] Epoch  62/100 | Loss=0.1602 | Acc=0.1852 | Best=0.1852(ep62) | LR=0.031662
[2026-04-04 11:14:11][DEBUG] [Client 0] Epoch  63/100 | Loss=0.1600 | Acc=0.1850 | Best=0.1852(ep62) | LR=0.030212
[2026-04-04 11:14:28][DEBUG] [Client 0] Epoch  64/100 | Loss=0.1522 | Acc=0.1833 | Best=0.1852(ep62) | LR=0.028782
[2026-04-04 11:14:44][DEBUG] [Client 0] Epoch  65/100 | Loss=0.1531 | Acc=0.1853 | Best=0.1853(ep65) | LR=0.027373
[2026-04-04 11:15:01][DEBUG] [Client 0] Epoch  66/100 | Loss=0.1546 | Acc=0.1835 | Best=0.1853(ep65) | LR=0.025986
[2026-04-04 11:15:18][DEBUG] [Client 0] Epoch  67/100 | Loss=0.1495 | Acc=0.1838 | Best=0.1853(ep65) | LR=0.024623
[2026-04-04 11:15:35][DEBUG] [Client 0] Epoch  68/100 | Loss=0.1431 | Acc=0.1864 | Best=0.1864(ep68) | LR=0.023285
[2026-04-04 11:15:52][DEBUG] [Client 0] Epoch  69/100 | Loss=0.1520 | Acc=0.1831 | Best=0.1864(ep68) | LR=0.021974
[2026-04-04 11:16:09][DEBUG] [Client 0] Epoch  70/100 | Loss=0.1381 | Acc=0.1840 | Best=0.1864(ep68) | LR=0.020690
[2026-04-04 11:16:25][DEBUG] [Client 0] Epoch  71/100 | Loss=0.1358 | Acc=0.1858 | Best=0.1864(ep68) | LR=0.019435
[2026-04-04 11:16:42][DEBUG] [Client 0] Epoch  72/100 | Loss=0.1374 | Acc=0.1867 | Best=0.1867(ep72) | LR=0.018211
[2026-04-04 11:16:59][DEBUG] [Client 0] Epoch  73/100 | Loss=0.1379 | Acc=0.1844 | Best=0.1867(ep72) | LR=0.017017
[2026-04-04 11:17:15][DEBUG] [Client 0] Epoch  74/100 | Loss=0.1301 | Acc=0.1874 | Best=0.1874(ep74) | LR=0.015857
[2026-04-04 11:17:32][DEBUG] [Client 0] Epoch  75/100 | Loss=0.1349 | Acc=0.1826 | Best=0.1874(ep74) | LR=0.014730
[2026-04-04 11:17:49][DEBUG] [Client 0] Epoch  76/100 | Loss=0.1346 | Acc=0.1860 | Best=0.1874(ep74) | LR=0.013638
[2026-04-04 11:18:06][DEBUG] [Client 0] Epoch  77/100 | Loss=0.1224 | Acc=0.1852 | Best=0.1874(ep74) | LR=0.012582
[2026-04-04 11:18:22][DEBUG] [Client 0] Epoch  78/100 | Loss=0.1203 | Acc=0.1851 | Best=0.1874(ep74) | LR=0.011563
[2026-04-04 11:18:39][DEBUG] [Client 0] Epoch  79/100 | Loss=0.1136 | Acc=0.1873 | Best=0.1874(ep74) | LR=0.010582
[2026-04-04 11:18:56][DEBUG] [Client 0] Epoch  80/100 | Loss=0.1172 | Acc=0.1875 | Best=0.1875(ep80) | LR=0.009640
[2026-04-04 11:19:13][DEBUG] [Client 0] Epoch  81/100 | Loss=0.1137 | Acc=0.1860 | Best=0.1875(ep80) | LR=0.008737
[2026-04-04 11:19:29][DEBUG] [Client 0] Epoch  82/100 | Loss=0.1181 | Acc=0.1875 | Best=0.1875(ep80) | LR=0.007876
[2026-04-04 11:19:46][DEBUG] [Client 0] Epoch  83/100 | Loss=0.1079 | Acc=0.1867 | Best=0.1875(ep80) | LR=0.007056
[2026-04-04 11:20:03][DEBUG] [Client 0] Epoch  84/100 | Loss=0.1155 | Acc=0.1877 | Best=0.1877(ep84) | LR=0.006278
[2026-04-04 11:20:20][DEBUG] [Client 0] Epoch  85/100 | Loss=0.1099 | Acc=0.1872 | Best=0.1877(ep84) | LR=0.005544
[2026-04-04 11:20:37][DEBUG] [Client 0] Epoch  86/100 | Loss=0.0996 | Acc=0.1879 | Best=0.1879(ep86) | LR=0.004854
[2026-04-04 11:20:54][DEBUG] [Client 0] Epoch  87/100 | Loss=0.1043 | Acc=0.1866 | Best=0.1879(ep86) | LR=0.004208
[2026-04-04 11:21:10][DEBUG] [Client 0] Epoch  88/100 | Loss=0.1060 | Acc=0.1873 | Best=0.1879(ep86) | LR=0.003608
